BN	TN	seqType	Horizon	FT	PrepTime	press0	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	press12	press13	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	response12	response13	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	pressTime12	pressTime13	timeThreshold2	timeThreshold3	timeThreshold4	timeThreshold14	points	Gain1	Gain2	Gain3	Gain4	Gain5	StimTimeLim	
1	15	1	7	1	3000	5	4	2	3	1	2	4	5	1	3	4	2	3	1	54231245134231	0	5000	3244.000	610.000	0	5	4	2	3	1	2	4	5	1	3	4	2	3	1	5614.000	5808.000	6032.000	6186.000	6426.000	6620.000	6870.000	7088.000	7284.000	7774.000	8038.000	8390.000	8552.000	8746.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	16	1	1	1	3000	5	1	2	4	3	5	2	3	1	4	3	5	2	1	51243523143521	0	5000	6810.000	542.000	1	5	1	2	3	3	5	2	3	1	4	3	5	2	1	5546.000	5972.000	6502.000	6852.000	7636.000	8064.000	8606.000	9086.000	9502.000	9986.000	10678.000	11242.000	11790.000	12214.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	17	1	6	1	3000	4	2	1	3	5	3	4	2	1	5	2	4	3	5	42135342152435	0	5000	3444.000	592.000	0	4	2	1	3	5	3	4	2	1	5	2	4	3	5	5596.000	5844.000	6062.000	6258.000	6504.000	6760.000	7048.000	7342.000	7532.000	7782.000	8232.000	8540.000	8756.000	8946.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	18	1	1	1	3000	1	4	5	3	2	5	2	1	4	3	1	3	4	2	14532521431342	0	5000	6106.000	510.000	0	1	4	5	3	2	5	2	1	4	3	1	3	4	2	5514.000	5976.000	6442.000	6868.000	7320.000	7768.000	8254.000	8702.000	9188.000	9634.000	10152.000	10594.000	11052.000	11528.000	800.000	1100.000	1500.000	6000.000	1	1.000	1.000	1.000	1.000	1.000	15000	
1	19	1	8	1	3000	4	3	1	2	5	2	4	5	1	3	4	2	5	1	43125245134251	0	5000	3364.000	524.000	0	4	3	1	2	5	2	4	5	1	3	4	2	5	1	5528.000	5736.000	5988.000	6218.000	6488.000	6772.000	6994.000	7210.000	7420.000	7764.000	7998.000	8346.000	8598.000	8774.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	20	1	2	1	3000	5	2	1	3	4	2	4	5	3	1	4	1	3	5	52134245314135	0	5000	5092.000	716.000	0	5	2	1	3	4	2	4	5	3	1	4	1	3	5	5720.000	5952.000	6348.000	6950.000	7164.000	7640.000	7886.000	8502.000	8912.000	9116.000	9806.000	10016.000	10502.000	10688.000	800.000	1100.000	1500.000	6000.000	2	1.000	1.000	1.000	1.000	1.000	15000	
1	21	1	5	1	3000	1	5	4	2	3	5	2	1	3	4	1	3	2	4	15423521341324	0	5000	3556.000	662.000	0	1	5	4	2	3	5	2	1	3	4	1	3	2	4	5666.000	5890.000	6046.000	6278.000	6452.000	6712.000	7012.000	7186.000	7518.000	7982.000	8430.000	8678.000	8892.000	9134.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	22	1	3	1	3000	2	5	3	1	4	1	4	3	5	2	3	5	1	2	25314143523512	0	5000	3798.000	820.000	1	2	5	3	1	4	1	4	3	5	2	5	5	1	2	5824.000	5948.000	6140.000	6382.000	6606.000	6886.000	7158.000	7398.000	7622.000	7958.000	8376.000	9066.000	9326.000	9514.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	23	1	4	1	3000	1	4	2	5	3	2	4	3	5	1	2	4	1	3	14253243512413	0	5000	4164.000	472.000	1	1	4	2	5	3	2	4	3	5	1	2	4	2	3	5476.000	5642.000	5866.000	6078.000	6290.000	7078.000	7350.000	7566.000	7792.000	8048.000	8230.000	8588.000	8894.000	9486.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	24	1	7	1	3000	3	2	5	1	4	5	3	4	2	1	4	1	3	5	32514534214135	0	5000	5354.000	524.000	1	3	2	1	1	4	5	3	4	2	1	4	1	3	5	5528.000	5732.000	5956.000	6978.000	7744.000	7992.000	8892.000	9140.000	9386.000	9666.000	10052.000	10314.000	10560.000	10824.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
